OJ,Problem Number,Problem Title,AC Users,Try Users,AC Submission,All Submission
UVA,633,A Chess Knight,433,,529,2754
UVA,634,Polygon,1415,,2103,3972
UVA,635,Clock solitaire,190,,256,456
UVA,636,Squares (III),1933,,2273,4160
UVA,637,Booklet Printing,2685,,3306,7466
UVA,638,Finding Rectangles,611,,989,2703
UVA,639,Don't Get Rooked,3125,,4397,7321
UVA,640,Self Numbers,4996,,7092,13647
UVA,641,Do the Untwist,1111,,1470,2295
UVA,642,Word Amalgamation,2898,,3701,6861
UVA,643,Bulk Mailing,83,,118,614
UVA,644,Immediate Decodability,3668,,5466,11781
UVA,645,File Mapping,217,,280,1099
UVA,646,The Gourmet Club,28,,70,449
UVA,647,Chutes and Ladders,671,,798,1380
UVA,648,Stamps (II),139,,174,552
UVA,649,You Who?,20,,30,182
UVA,650,Bowl,57,,86,786
UVA,651,Deck,732,,908,1695
UVA,652,Eight,464,,1182,6314
UVA,653,Gizilch,219,,337,1103
UVA,654,Ratio,522,,659,2263
UVA,655,Scrabble,45,,92,766
UVA,656,Optimal Programs,336,,479,1953
UVA,657,The die is cast,2387,,3892,13905
UVA,658,"It's not a Bug, it's a Feature!",672,,1706,5566
UVA,659,Reflections,216,,261,705
UVA,660,Going in circles on Alpha Centauri,132,,168,555
UVA,661,Blowing Fuses,5028,,6001,16604
UVA,662,Fast Food,714,,1316,4203
UVA,663,Sorting Slides,512,,789,3924
UVA,664,Single-Player Games,125,,158,590
UVA,665,False coin,1009,,1386,5067
UVA,666,Rating,29,,34,359
UVA,667,Fence,81,,108,586
UVA,668,Parliament,597,,769,2795
UVA,669,Defragment,187,,307,1208
UVA,670,The dog task,917,,2351,6942
UVA,671,Spell checker,564,,920,3808
UVA,672,Gangsters,363,,573,2350
UVA,673,Parentheses Balance,14204,,27782,93986
UVA,674,Coin Change,11132,,18969,38276
UVA,675,Convex Hull of the Polygon,114,,232,1941
UVA,676,Horse Step Maze,138,,173,1436
UVA,677,"All Walks of length ""n"" from the first node",1060,,1454,3899
UVA,678,Schedule of Taiwan Baseball League,56,,80,260
UVA,679,Dropping Balls,3746,,7175,16434
UVA,680,Movement of Reading Head,163,,203,561
UVA,681,Convex Hull Finding,1989,,3946,15897
UVA,682,Whoever-pick-the-last-one-lose,129,,214,658
UVA,683,Character Decoding,49,,71,311
UVA,684,Integral Determinant,339,,697,3675
UVA,685,Least Path Cost,209,,270,830
UVA,686,Goldbach's Conjecture (II),8973,,12683,23145
UVA,687,Lattice Practices,47,,66,369
UVA,688,Mobile Phone Coverage,721,,1033,2889
UVA,689,Napoleon's Grumble,123,,162,1275
UVA,690,Pipeline Scheduling,108,,468,1420
UVA,691,Triangle Partition,20,,33,1536
UVA,692,BUT We Need a Diagram,83,,109,463
UVA,693,Digital Racing Circuit,11,,34,420
